Chromosome/scaffold name,Strand,Transcript start (bp),Transcript end (bp),5' UTR end,3' UTR start,Gene stable ID,Gene name,Transcript stable ID,Protein stable ID
AB325691,-1,14073,15248,,,SPBC460.04c,SPBC460.04c,SPBC460.04c.1,SPBC460.04c.1:pep
MT,1,17082,17150,,,SPMITTRNACYS.01,SPMITTRNACYS.01,SPMITTRNACYS.01.1,
MTR,-1,15593,15721,,,SPMTR.03,mat3-Mm,SPMTR.03.1,SPMTR.03.1:pep
MT,1,17542,17613,,,SPMITTRNAILE.02,SPMITTRNAILE.02,SPMITTRNAILE.02.1,
II,1,10569,11351,,11010,SPBC1348.03,SPBC1348.03,SPBC1348.03.1,SPBC1348.03.1:pep
III,1,43480,46985,43844,45072,SPCC1884.02,nic1,SPCC1884.02.1,SPCC1884.02.1:pep
AB325691,-1,8856,9803,,,SPBC460.02c,SPBC460.02c,SPBC460.02c.1,SPBC460.02c.1:pep
AB325691,-1,8856,9803,,,SPBC460.02c,SPBC460.02c,SPBC460.02c.1,SPBC460.02c.1:pep
MT,1,17806,18030,,,SPMIT.10,atp9,SPMIT.10.1,SPMIT.10.1:pep
III,1,49802,50142,,,SPNCRNA.451,SPNCRNA.451,SPNCRNA.451.1,
II,1,68355,68852,,,SPBPB21E7.06,SPBPB21E7.06,SPBPB21E7.06.1,
AB325691,-1,1479,3197,,,SPBC460.01c,SPBC460.01c,SPBC460.01c.1,SPBC460.01c.1:pep
MT,1,18404,18475,,,SPMITTRNAGLU.01,SPMITTRNAGLU.01,SPMITTRNAGLU.01.1,
I,-1,5726,6331,,,SPAC212.10,SPAC212.10,SPAC212.10.1,
III,-1,69195,71282,71282,69195,SPCC757.11c,SPCC757.11c,SPCC757.11c.1,SPCC757.11c.1:pep
II,-1,99860,101411,101411,99860,SPBPB10D8.07c,SPBPB10D8.07c,SPBPB10D8.07c.1,SPBPB10D8.07c.1:pep
AB325691,1,11641,13344,,,SPBC460.03,vba2,SPBC460.03.1,SPBC460.03.1:pep
I,1,28738,29657,,,SPAC212.01c,SPAC212.01c,SPAC212.01c.1,SPAC212.01c.1:pep
I,1,28738,29657,,29639,SPAC212.01c,SPAC212.01c,SPAC212.01c.1,SPAC212.01c.1:pep
MT,1,18561,19307,,,SPMIT.11,cox2,SPMIT.11.1,SPMIT.11.1:pep
II,1,107583,109353,107758,108872,SPBC359.02,alr2,SPBC359.02.1,SPBC359.02.1:pep
MTR,1,3861,4368,3888,,SPMTR.02,mat2-Pi,SPMTR.02.1,SPMTR.02.1:pep
AB325691,1,16470,18062,,,SPBC460.05,SPBC460.05,SPBC460.05.1,SPBC460.05.1:pep
MT,1,1,2822,,,SPRRNA.01,21S_rRNA,SPRRNA.01.1,
III,1,72916,75522,73482,75361,SPCC757.12,SPCC757.12,SPCC757.12.1,SPCC757.12.1:pep
II,1,120577,121643,,,SPNCRNA.293,SPNCRNA.293,SPNCRNA.293.1,
MT,1,2968,3050,,,SPMITTRNASER.01,SPMITTRNASER.01,SPMITTRNASER.01.1,
I,-1,31140,32345,32345,,SPAC977.18,SPAC977.18,SPAC977.18.1,SPAC977.18.1:pep
I,-1,31140,32345,,,SPAC977.18,SPAC977.18,SPAC977.18.1,SPAC977.18.1:pep
I,-1,31140,32345,,31140,SPAC977.18,SPAC977.18,SPAC977.18.1,SPAC977.18.1:pep
MT,1,14492,14563,,,SPMITTRNATRP.01,SPMITTRNATRP.01,SPMITTRNATRP.01.1,
II,1,127937,128726,,,SPNCRNA.1314,SPNCRNA.1314,SPNCRNA.1314.1,
MTR,-1,3354,3753,3753,,SPMTR.01,mat2-Pc,SPMTR.01.1,SPMTR.01.1:pep
III,1,94500,96690,94730,,SPCC613.09,sen54,SPCC613.09.1,SPCC613.09.1:pep
III,1,94500,96690,,,SPCC613.09,sen54,SPCC613.09.1,SPCC613.09.1:pep
III,1,94500,96690,,96032,SPCC613.09,sen54,SPCC613.09.1,SPCC613.09.1:pep
MT,1,15550,15622,,,SPMITTRNAHIS.01,SPMITTRNAHIS.01,SPMITTRNAHIS.01.1,
MTR,1,15856,16401,,,SPMTR.04,mat3-Mc,SPMTR.04.1,SPMTR.04.1:pep
MT,1,2857,2929,,,SPMITTRNALYS.01,SPMITTRNALYS.01,SPMITTRNALYS.01.1,
I,-1,58277,59105,,,SPAC977.13c,SPAC977.13c,SPAC977.13c.1,
II,1,151490,155630,153561,155302,SPBC1683.07,mal1,SPBC1683.07.1,SPBC1683.07.1:pep
MT,1,4886,8790,,,SPMIT.01,cox1,SPMIT.01.1,SPMIT.01.1:pep
MT,1,4886,8790,,,SPMIT.01,cox1,SPMIT.01.1,SPMIT.01.1:pep
MT,1,4886,8790,,,SPMIT.01,cox1,SPMIT.01.1,SPMIT.01.1:pep
I,1,62961,63862,62988,63733,SPAC977.15,SPAC977.15,SPAC977.15.1,SPAC977.15.1:pep
II,-1,154152,154516,,,SPNCRNA.1317,mal1-antisense-1,SPNCRNA.1317.1,
III,-1,109597,110654,110654,,SPCC330.03c,SPCC330.03c,SPCC330.03c.1,SPCC330.03c.1:pep
III,-1,109597,110654,,,SPCC330.03c,SPCC330.03c,SPCC330.03c.1,SPCC330.03c.1:pep
III,-1,109597,110654,,109597,SPCC330.03c,SPCC330.03c,SPCC330.03c.1,SPCC330.03c.1:pep
II,1,156254,157003,,,SPNCRNA.298,SPNCRNA.298,SPNCRNA.298.1,
III,1,112884,113441,,,SPNCRNA.1109,mug135-antisense-1,SPNCRNA.1109.1,
I,-1,71982,72380,,,SPNCRNA.37,prl37,SPNCRNA.37.1,
MT,1,10173,13862,,,SPMIT.05,cob1,SPMIT.05.1,SPMIT.05.1:pep
MT,1,10173,13862,,,SPMIT.05,cob1,SPMIT.05.1,SPMIT.05.1:pep
III,1,140967,141038,,,SPCTRNAGLU.09,SPCTRNAGLU.09,SPCTRNAGLU.09.1,
MT,1,15747,15819,,,SPMITTRNAGLN.01,SPMITTRNAGLN.01,SPMITTRNAGLN.01.1,
I,1,72344,72414,,,SPNCRNA.83,SPNCRNA.83,SPNCRNA.83.1,
MT,1,17166,17238,,,SPMITTRNAVAL.01,SPMITTRNAVAL.01,SPMITTRNAVAL.01.1,
III,1,141220,141422,,,SPNCRNA.456,SPNCRNA.456,SPNCRNA.456.1,
II,-1,163534,165317,165317,163534,SPBC1683.10c,pcl1,SPBC1683.10c.1,SPBC1683.10c.1:pep
MT,1,3131,4552,,,SPRRNA.02,15S_rRNA,SPRRNA.02.1,
I,-1,74452,76721,76721,74452,SPAPJ695.02,SPAPJ695.02,SPAPJ695.02.1,SPAPJ695.02.1:pep
III,-1,141429,141634,,,SPNCRNA.457,ark1-antisense-1,SPNCRNA.457.1,
MT,1,9818,9894,,,SPMITTRNAARG.01,SPMITTRNAARG.01,SPMITTRNAARG.01.1,
III,1,170340,174289,,,SPNCRNA.1115,SPNCRNA.1115,SPNCRNA.1115.1,
II,-1,170167,172271,172271,,SPBC1683.13c,cha4,SPBC1683.13c.1,SPBC1683.13c.1:pep
II,-1,170167,172271,,,SPBC1683.13c,cha4,SPBC1683.13c.1,SPBC1683.13c.1:pep
II,-1,170167,172271,,,SPBC1683.13c,cha4,SPBC1683.13c.1,SPBC1683.13c.1:pep
II,-1,170167,172271,,,SPBC1683.13c,cha4,SPBC1683.13c.1,SPBC1683.13c.1:pep
MT,1,14596,14669,,,SPMITTRNALEU.02,SPMITTRNALEU.02,SPMITTRNALEU.02.1,
